"ID","genotype","site","year","population","SowDate","Harvest","CheckpointID","SimulationID","Zone","Clock.Today","Soybean.Phenology.Stage","Soybean.Phenology.CurrentStageName","Soybean.AboveGround.Wt","Yield","Soybean.Grain.Size","Soybean.Grain.Number","Soybean.Total.Wt","Soybean.Leaf.FRGR","Soybean.Leaf.Fw","Soybean.Leaf.Photosynthesis.FT","Soybean.Leaf.Photosynthesis.FW","Soybean.WaterUptake(1)","Soybean.WaterUptake(2)","Soybean.WaterUptake(3)","Soybean.WaterUptake(4)","Soybean.WaterUptake(5)","Soybean.WaterUptake(6)","Soybean.WaterUptake(7)","Soybean.WaterUptake(8)","Soybean.WaterUptake(9)","Soybean.WaterUptake(10)","Date"
"Eri13_MG4_39_20-jun_19-nov","Generic_MG4","Erie",2013,39,"20-jun","19-nov",1,1,"paddock","2013-08-04 12:00:00",4.00537843302022,"StartFlowering",313.42180601322,0,0,0,417.464815817597,1,1,1,1,1.49187066482511,1.25528406599821,0.997288761213992,0.542387461322205,0.343536997274197,0.258433573779891,0.123878889956376,0,0,0,2013-08-04
"Eri13_MG5_39_20-jun_19-nov","Generic_MG5","Erie",2013,39,"20-jun","19-nov",1,1,"paddock","2013-08-10 12:00:00",4.00726392586556,"StartFlowering",394.396780708705,0,0,0,526.857982316657,1,1,1,1,0.866630073978978,0.7203206857511,0.571782480674771,0.371805823919181,0.304643852254263,0.249578956656319,0.193367179135684,0.0641690149704113,0,0,2013-08-10
"Eri14_MG4_39_19-may_11-nov","Generic_MG4","Erie",2014,39,"19-may","11-nov",1,1,"paddock","2014-07-10 12:00:00",4.00006509168456,"StartFlowering",412.080874199928,0,0,0,558.791218673072,1,0.672113418455613,1,0.672113418455613,0.878367070998409,0.97134280441722,0.783610956888001,0.419583012114886,0.525052534048608,0.486634418158499,0.501610317088962,0.195746948389994,0,0,2014-07-10
"Eri14_MG5_39_19-may_11-nov","Generic_MG5","Erie",2014,39,"19-may","11-nov",1,1,"paddock","2014-07-21 12:00:00",4.0434275369181,"StartFlowering",536.542765492599,0,0,0,723.050252071708,1,0.479864610837503,1,0.479864610837503,0.062816693355422,0.572823784863822,0.533282423046236,0.270721402238687,0.396909193114655,0.37883493547855,0.421389729639071,0.425943288390806,0.52772282245416,0.0356912838187285,2014-07-21
"Eri16_MG5_30_07-jun_17-nov","Generic_MG5","Erie",2016,30,"07-jun","17-nov",1,1,"paddock","2016-07-30 12:00:00",4.03085936489712,"StartFlowering",441.711915965982,0,0,0,605.782154038527,1,1,1,1,1.38036250585823,1.12437661783935,0.922858056882486,0.48330629513037,0.516594178940517,0.456251644470215,0.476666845306941,0.306444915692279,0,0,2016-07-30
"Eri16_MG6_30_07-jun_17-nov","Generic_MG6","Erie",2016,30,"07-jun","17-nov",1,1,"paddock","2016-08-07 12:00:00",4.01427839443813,"StartFlowering",534.299188252482,0,0,0,730.57859917627,1,1,1,1,1.07725281681316,0.399929877925158,0.343145755881385,0.173990184115652,0.208368888539762,0.187044125503545,0.205439623654629,0.204207621714371,0.228125187044734,0,2016-08-07
"Eri17_MG4_30_11-jul_28-nov","Generic_MG4","Erie",2017,30,"11-jul","28-nov",1,1,"paddock","2017-08-19 12:00:00",4.09793784411057,"StartFlowering",204.981472349828,0,0,0,275.987264876462,1,1,1,1,1.29110275360677,1.29606355476486,0.99669889999081,0.594804030464842,0.465903754681565,0.223010879136427,0,0,0,0,2017-08-19
"Eri17_MG5_30_11-jul_28-nov","Generic_MG5","Erie",2017,30,"11-jul","28-nov",1,1,"paddock","2017-08-22 12:00:00",4.00413395166585,"StartFlowering",242.536028718922,0,0,0,327.59163431952,1,1,1,1,1.14741841208461,1.16015513804189,0.987434047781235,0.651794983072221,0.541950987492248,0.430125321042783,0.0186057555194605,0,0,0,2017-08-22
"Eri18_MG3_25_08-jun_10-dec","Generic_MG3","Erie",2018,25,"08-jun","10-dec",1,1,"paddock","2018-07-19 12:00:00",4.06051973980348,"StartFlowering",219.405890917611,0,0,0,297.875675664417,1,0.854591826412413,1,0.854591826412413,0.388770718993099,0.753555940966318,0.788153765380294,0.443355757322322,0.601066893578574,0.529229889992107,0,0,0,0,2018-07-19
"Eri18_MG4_25_08-jun_10-dec","Generic_MG4","Erie",2018,25,"08-jun","10-dec",1,1,"paddock","2018-07-25 12:00:00",4.016774771373,"StartFlowering",270.538783718977,0,0,0,366.143833339644,1,0.472821947544469,1,0.472821947544469,0.0644547962414181,0.566583411353794,0.635694642112722,0.349683869161166,0.514941201246576,0.51050242494578,0.424587621386064,0,0,0,2018-07-25
"Eri18_MG5_25_08-jun_10-dec","Generic_MG5","Erie",2018,25,"08-jun","10-dec",1,1,"paddock","2018-08-02 12:00:00",4.01547832942834,"StartFlowering",346.656560456832,0,0,0,470.652814287054,1,0.578180019455058,1,0.578180019455058,0.825085560472184,0.399224946910427,0.478994253598706,0.254397998493379,0.419527254442416,0.42412338083063,0.465940475714905,0.444806456055884,0,0,2018-08-02
"Eri19_MG4_25_26-jun_18-nov","Generic_MG4","Erie",2019,25,"26-jun","18-nov",1,1,"paddock","2019-08-07 12:00:00",4.04104923402309,"StartFlowering",237.262652863182,0,0,0,324.556219949215,1,1,1,1,1.7486507157437,1.32273816968955,0.982926933143747,0.573567766238756,0.456363543417387,0.367952461893949,0.0167048772632486,0,0,0,2019-08-07
